actorID,actorName,birthYear,nationality
350964,Mario Castillo,1968,Norway
630228,Leah Brooks,1921,Mexico
374284,Dr. David Norton PhD,2012,Netherlands
579768,Tiffany Sanchez,1918,Netherlands
260875,Ashley White,1995,Netherlands
177863,Steven Mccoy,1906,France
803672,Ashley Drake,2009,Austria
289957,Jason Jenkins,1981,Mexico
926559,Maria Jones,1945,France
104847,Jennifer Mcgee,1941,Ireland
742432,Carlos Clarke,1959,Ireland
892311,Joseph Le,1936,Norway
266584,Matthew Guerra,1928,Italy
444969,Sarah Meyer,1925,Canada
457316,Mrs. Gabrielle Moses,1965,Colombia
581561,Katherine Andrews,2002,Venezuela
523073,Virginia Graham,1916,Venezuela
685020,Diane Baker DVM,1920,Germany
605532,Angel Booth,1951,Italy
595650,Shannon Solomon,1922,United Kingdom
620137,Emily Washington,1960,Portugal
535616,Natasha Hernandez,1964,Venezuela
686758,Kyle Webb,1952,Canada
716484,Chad Dixon,1945,Norway
815836,Richard Beck,2004,Colombia
577962,John Edwards,1963,Netherlands
698204,Thomas Simmons,1910,Norway
528079,Jessica Williams,2011,Spain
934680,Jamie Moore,2007,Norway
227845,Jacob Thomas,1933,Ecuador
826556,Lauren Livingston,1966,Cuba
495486,Paige Fry PhD,1971,France
432528,Frank Reed,1999,Netherlands
549887,Geoffrey Blair,1917,Germany
393642,Tonya Krueger,1987,Mexico
681479,Michelle Espinoza,1961,Italy
333497,Amy Fernandez,1971,Ecuador
538548,Donald Barrera,1935,Italy
823039,Jessica Carter,1980,Iceland
585926,Michael Thompson,1931,Colombia
908813,Deborah Arnold,1982,Germany
396828,Eric Nelson,1939,Denmark
528090,Ethan Wilson,1950,Austria
141601,Shannon Clark,1918,United Kingdom
644037,Christopher Cooper,1947,Spain
609586,Rebecca Carter,2005,Iceland
734531,Adriana Cox,1924,Germany
549252,Eric Harmon,1993,Germany
895874,David Shepard,1933,Switzerland
433088,Brian Santana,1923,Finland
859508,Cindy Rogers,1950,Spain
200977,Kelly Kelley,1996,Iceland
472269,Amy Johnson,1998,Canada
195084,Dr. Christopher Martinez II,1909,Italy
912459,Phyllis Perez,1967,Denmark
278369,Peter Oneal,1994,Cuba
169929,Matthew Trujillo,1921,Cuba
676429,Kristen Marsh,1917,Switzerland
140671,Alyssa Ortega,1970,Mexico
262579,Karen Williams,1999,Denmark
778070,Ashley Sellers,2015,Colombia
449304,Rita Lee,1969,Cuba
806540,Michael Charles,1934,Finland
347669,Ruben Mitchell,1953,Belgium
839598,James Hall,1997,Netherlands
427514,Megan Anderson MD,1920,Iceland
562996,Raymond Nguyen,2004,Venezuela
553309,Lisa Baker,1938,France
710881,Walter Jenkins,1933,United Kingdom
787384,Michael Gould,1941,Iceland
197126,David Terrell,1981,United Kingdom
782090,Barbara Roth,2011,Germany
198751,Nicolas Estrada,2007,United States
469496,Theresa Williams,1905,Ireland
112476,Marcus Hutchinson,1982,Mexico
628018,Jared Jarvis DDS,1989,Ireland
882931,Shaun Mueller,1962,Iceland
530403,Lori Cuevas,2004,Ecuador
393291,Sandy Jenkins,1927,Colombia
171847,Robert Le,2006,Portugal
394486,Adam Ingram,1970,Ecuador
325815,Jordan Burke,1946,Belgium
702060,Mary Wood,1995,Austria
817500,Daniel Peterson,1929,Belgium
505168,Nicole Campbell,1976,Cuba
482392,Sean Brown,1976,Denmark
777192,Nicholas Calderon,1993,Colombia
373655,Roger Nichols,2016,Cuba
107220,Gregory Stark,1971,Iceland
128087,Mark Cook,1950,Venezuela
119331,Ryan Simpson,1930,Iceland
905578,Eric Pierce,1973,Belgium
910461,Karen Johns DDS,1939,Ireland
173332,Mary Koch,1903,Denmark
167714,Thomas Thomas,1979,Iceland
295362,Abigail Sosa,1932,Norway
809551,Deborah Atkinson DVM,1950,Ecuador
409334,Steven Obrien,1970,Iceland
343442,Melissa Davis,1906,Germany
735149,Michael Taylor,1911,Spain
472616,Debra Dixon,1929,Austria
313384,Nicole Smith,1999,Colombia
824339,Keith Graham,1974,Denmark
773547,James Clark,1996,United States
774351,Denise Ray,1900,Canada
161753,Bruce Jones,1962,Iceland
663589,Charlene Garcia,1909,Germany
268303,Caitlin Sanders,1922,Ireland
707032,Amy Howell,1986,Ireland
789243,Christine Jimenez,1936,Portugal
688549,Patrick Velasquez,2010,Ireland
547118,Kayla Zavala,2013,Venezuela
540839,Jessica Cabrera,1924,Ireland
254980,Matthew Rogers,1904,France
516877,Alicia Cantu,1907,Germany
788404,Andrew Travis,1938,United Kingdom
937755,Michael Robbins,1933,France
283088,Stacy Harrington,1922,Finland
354212,Crystal Wilkinson,1931,Mexico
734571,Kevin Adams,2003,Ireland
690097,Cassandra Perez,1909,Switzerland
173692,Nicholas Scott,1977,Norway
725383,Kimberly Gonzales,2010,Denmark
543484,Gary Jones III,1961,Mexico
384453,Sarah Li,1976,Sweden
317219,Amanda Thompson,1994,Switzerland
155861,Rebecca Mcknight,1978,Venezuela
515847,Elizabeth Smith,2013,Denmark
858681,Antonio Villa,1904,Belgium
160508,Nathan Bright,1901,Cuba
421148,Tony White,1913,Venezuela
290947,David Graham,1935,Iceland
607327,Tiffany Mason,1963,Germany
971293,Brenda Oconnell,1960,Austria
923537,Jonathan Herrera,1901,France
273183,John Clark MD,1975,Iceland
781290,Harold Chase,2015,United States
713344,Christopher Cobb,1916,United States
709713,Cody Williamson,1950,Norway
256735,Brandon Medina,1922,United States
402399,Richard Wallace DDS,1917,Venezuela
243956,Daniel Thompson,1935,Portugal
639449,Susan Reilly,2013,France
188097,James Collins,1995,Finland
167353,Frank Woodward,1908,Portugal
965240,Kimberly Miller,1912,Spain
938366,Thomas Barnett,1934,Germany
483630,Rebecca Walker,1979,Ecuador
154181,Jeffrey Sherman,1951,Germany
706753,Linda Gonzalez,1985,Switzerland
159735,Kathleen Holt,1941,Netherlands
871154,Daniel Combs,1922,Portugal
575701,Jesus Harris,1948,Denmark
372010,Zachary Foster,1996,Venezuela
983860,John Campbell,1920,Italy
233121,Kara Hill,2001,Netherlands
764379,Natalie Flores,1968,Portugal
784247,Scott Lewis,1927,Ireland
968416,Jason Wong,2016,United Kingdom
247754,Thomas Conway,2015,United States
101708,Marisa York,1963,Ireland
567953,Benjamin Knight,1992,Spain
588077,Erin Sanders,1972,Iceland
328692,Micheal Waters,1955,Austria
708458,Brandon Lawson,1993,United States
737697,Christina Aguirre DDS,1962,Mexico
164017,Hayley Sutton,1910,Ireland
712631,Crystal Pearson MD,2005,Iceland
224652,Grace Lopez,1950,Portugal
760714,Amber Hunt,1914,Belgium
777266,Kyle Thomas,1964,Ecuador
860491,Crystal Rocha,1926,France
445815,Breanna Johnson,2000,Sweden
747329,Randy Moore,2009,Iceland
499570,Stacy Pineda,1921,Norway
122575,Olivia Conley,1904,Sweden
527952,Jennifer Atkinson,1930,Austria
497821,Jerry Harris,1928,Ireland
482600,Kevin Forbes,1961,Netherlands
482055,Scott Cox,1977,Sweden
765431,John Smith,1929,Belgium
991973,Dale Willis,2001,Iceland
253723,Janet Woods,1923,Iceland
779366,Whitney Drake,1919,Iceland
338420,Rose Hubbard,1939,United States
842591,Yolanda Joseph,1941,Cuba
470632,John Vargas,2002,Switzerland
726551,Kerry Johnson,1911,Netherlands
682944,Lisa Ortega,2011,Norway
401360,Mrs. Tracy Montgomery,1951,Belgium
199378,Paula Molina,1988,Italy
503627,Jennifer Hall,1943,Spain
680386,Charlotte Vazquez,1969,Venezuela
761106,Elizabeth Coleman,1941,Iceland
584823,Chelsea Walsh,1971,Austria
559216,Shawn Morgan,1982,Venezuela
384563,Ryan Mathis,1972,Belgium
560228,Leslie James,2003,Mexico
634408,Marissa Maldonado,1947,Colombia
764166,Lindsay Henson,1977,Portugal
326991,James Snyder,1920,Austria
513027,Leon Hayes,1920,Mexico
942782,Daniel Grant,2001,Finland
457399,Melinda Munoz,1960,Ireland
246036,Jordan Good,1936,Portugal
660379,Jennifer Martinez,1936,Finland
989608,Joseph Rosario,1973,Iceland
833627,Bryce Johnson,1916,United Kingdom
331141,Christopher Harper,1946,Finland
472217,John Taylor,1974,Denmark
455137,William Thompson,1918,Mexico
272459,Danny Mcdowell,1961,Colombia
537685,Deanna Calderon,1965,Italy
294424,Steven Taylor,2001,Switzerland
882402,Kelly Scott,1936,Ireland
257540,Regina Holloway,2013,Finland
316295,Jamie Wright,1946,Colombia
603864,Carrie Williams,1994,Switzerland
453160,Ryan Lee,1994,Germany
878182,Anne Hancock,1941,Canada
326403,Juan Molina,1978,Cuba
681326,Lauren Martin,1976,Netherlands
800873,Kathleen Zhang,1927,Ecuador
473170,Andrew Johnson,1962,France
808890,Nicholas Banks,1955,Venezuela
381281,Rebecca Robinson,1921,Canada
891678,Ashley Baker,1919,United States
636360,Mary Johns,2014,United Kingdom
310612,Travis Parker,1915,Colombia
227490,Ryan Day,1981,France
717851,Penny Petty,1941,Sweden
325259,David Wood,1998,Canada
443383,Donald Watkins,1973,Switzerland
171629,Donald Lester,2011,Austria
273972,Victoria Patterson,1972,Netherlands
136991,Vanessa Powell,1945,Venezuela
972138,Philip Johnson,2012,Iceland
751092,Anthony Kennedy,1922,France
335158,Charles Hall,1937,Colombia
338310,Christopher Figueroa,1957,Switzerland
133076,Michele Pham,1985,Switzerland
732223,Lisa Chase,1975,Finland
502330,Peter Warren DDS,1962,Ireland
710264,Kelly Wright,1970,Canada
779460,Lisa Gregory,1943,United Kingdom
259689,Michelle Davis,1984,Mexico
789069,Angel Wells,1993,Ireland
207273,Jason Snyder,1907,Venezuela
145359,Phillip Gregory,1941,Venezuela
331888,Heather Gonzales DVM,2012,Germany
958986,George Henson,2005,Iceland
458787,Ronald Levy,1988,Switzerland
930028,Rebecca Stewart,1979,Cuba
523951,Michael Jacobson,2003,Finland
273436,Timothy Grimes,1992,Norway
175468,Mitchell Keller,1986,Austria
975868,Wendy Glenn,1970,United States
145643,Rachel Kim,1975,Netherlands
967679,Thomas Walker,2004,Venezuela
207070,Heather Kent,1962,Portugal
285298,Jessica Brown,1991,Ireland
125660,James Baker,1913,Austria
856509,Paul Fox,1902,Spain
636509,Alec Sanchez,2014,Sweden
612552,Douglas Gutierrez,2015,Ecuador
364615,Alex Hood,2010,Spain
141625,Timothy Marks,1944,Finland
339475,Kayla Brady,2006,Austria
999808,Michael Mills,1954,Sweden
168436,Rodney Anderson,1974,Italy
487048,Cynthia Lowery,1962,Cuba
540115,Meghan Hall,1950,Mexico
307915,Andrew Mata,1974,Colombia
260662,Kevin Diaz,1934,United Kingdom
382037,Kevin Cummings,2013,Switzerland
921251,Kristy Miller,2014,Colombia
513860,Emily Price,1954,Belgium
786616,Cody Elliott,1993,Ecuador
626501,Kimberly Morgan,1904,United States
894264,Brian Smith,1958,Austria
658787,Kimberly Jenkins,1997,Spain
198909,Daniel Kelly,1929,Ecuador
474711,Jenny Frye,1992,Colombia
812417,Kelsey Harris,1981,Canada
101636,Tiffany Gomez,1928,Mexico
690568,Michael Rodriguez,1982,Ecuador
912964,Nicholas Garrett,1974,Belgium
745991,John Cain,1935,Cuba
565504,Tyler Wagner,2009,Ecuador
295324,Jennifer Aguirre,1905,Finland
942275,Jordan Hoffman,1953,Belgium
442877,Angela Browning,1996,Norway
450974,Kevin Wood,2008,Portugal
321172,Frank Jones,2000,Finland
991603,Christian Wilson,1929,Cuba
642433,Melissa Ward,1980,Venezuela
755091,Douglas Diaz,1912,United States
157016,William Curry,1981,Italy
872475,Charles Walker,1964,Finland
591656,Dean Sharp,2013,Norway
804874,Brian Blake,1931,Belgium
259352,Chelsea Foster,1956,Germany
402933,Erica Williams,1947,Mexico
320728,Taylor Hernandez,1975,Spain
125187,Laura Arnold,1900,Ireland
112635,Katrina Mcintosh,2000,Norway
308421,Erin Burton,1924,Ecuador
406921,Clayton Rivera,1950,Germany
497080,David Smith,2010,Austria
578247,David Brown,2006,Austria
142679,Nathan Hernandez,1988,Cuba
311116,Darryl Mckenzie,2015,Belgium
229052,Michele Baker,1994,Iceland
276840,Scott Pacheco,1900,Ireland
178262,Emma Gonzalez,1906,Netherlands
155893,Thomas Brown,1969,Netherlands
888842,Suzanne White,1900,Canada
640155,Ann Love,1994,Portugal
182102,Scott Phillips,1943,Netherlands
780956,Maria English,1902,Italy
613292,James Harris,1974,United Kingdom
584350,Donald Weber,2004,Mexico
542321,Gina Jones,1911,Colombia
844809,Ralph Stewart,1924,Belgium
587726,Gary Anderson,1929,Venezuela
734438,Heather Gillespie,1944,France
894061,Edward Wiley,1918,Canada
962769,Andrea Baldwin,1954,Iceland
220573,Shawn Sanchez,1917,Ireland
911950,John Watkins,1993,Netherlands
669309,Peter Flores,1957,Italy
297489,Andrew Cruz,1901,Ecuador
458592,Brian Hobbs,1951,Portugal
789337,Jerome Brown,2004,Venezuela
427113,Bryan Crawford,1921,Netherlands
881779,Tina Goodman,1974,Mexico
584917,Aaron Rowland,2006,Italy
786827,Antonio Kim,1948,Portugal
568967,Jill Oliver,1975,Netherlands
479912,Melissa Thornton,1946,Denmark
806224,Emily Moore,1979,Italy
721758,Cynthia Martinez,1944,Sweden
349940,Ashley Roberson MD,2009,Ireland
962080,Harold Casey,1955,France
778659,Michael Morgan,2011,Sweden
800085,Christopher Mcdowell,1961,Mexico
272129,Austin Luna,1959,United Kingdom
230499,Andrew Wilson,1993,Ireland
137010,Samuel Jacobs,1991,Finland
630796,Jacob Valencia,1936,Belgium
827888,Ashley Mitchell,2000,Venezuela
424993,Erin Chavez,2005,Iceland
587176,Colleen Carlson,2011,Switzerland
436579,Julia Edwards,1969,Sweden
285704,Donna Irwin,1964,Portugal
101936,Timothy Mccoy,1989,Germany
556696,James Peterson,1936,France
998186,William Small,1975,Switzerland
325888,Johnny Kelly,2002,Cuba
702740,Thomas Mcmahon,2009,Switzerland
657780,Renee Stewart,1904,Italy
746324,Jose Smith,1915,United Kingdom
259462,Craig Sanders,2009,United Kingdom
263415,Terry Craig,1972,Norway
329281,Susan Fox,1948,Colombia
485431,Justin Huber,1912,Ireland
434252,Gregory Ryan,1960,Denmark
307856,Robert Brown,1986,Germany
829715,Gary Lyons,1989,Finland
997592,Chad Hill,1906,Sweden
824594,Ronald Hall,1904,Venezuela
199815,Larry Burns,2013,Netherlands
962263,Tina Price,1908,Cuba
573797,Gregory Moreno,1900,Norway
254232,Dawn Smith,1980,Austria
989203,Christopher Nguyen,2011,Canada
254952,Michael Lucas,1974,Austria
385890,Thomas Thomas,1940,United States
971188,Lindsay Hopkins,2008,Portugal
418747,David Welch,1937,United States
313845,Sean Flores,1905,Colombia
461990,Jonathon Williams,1962,Austria
121872,Alan Macdonald,1982,Belgium
423066,Lisa Haynes,1989,Mexico
666317,Christine Taylor,1980,Germany
538640,William Potter,1947,Colombia
849539,Bethany Benitez,1971,Ireland
836467,Eugene Ross,1965,Portugal
266217,Michelle Duncan,1909,Portugal
936312,Christopher Pierce,1935,Sweden
890783,David Stone,1997,Iceland
742670,Leslie Stephens,1926,Colombia
144985,Wendy Herrera,1908,Mexico
768385,Oscar Livingston,1974,Norway
753139,Jonathan Richard,1967,Sweden
334100,Catherine Decker,1936,Italy
296294,Vincent Flores,1994,Norway
597427,Kathryn Holt,1913,Germany
819165,Mr. Robert Robinson,1972,France
412847,Erik Hooper,1908,Belgium
497697,Julie Salas,2011,Spain
662178,Michael Hansen,1977,Belgium
369101,Sharon Juarez,1977,Iceland
499168,Lindsay Griffith,1909,Spain
669610,Diana Reilly,1970,Portugal
526631,David Jones,1970,Ecuador
311852,Michael Villa,1911,Ecuador
217854,Max Reed,2002,Sweden
540736,Stephanie Thompson,1948,Switzerland
208989,Lisa Smith,1971,Sweden
974830,Amanda Davis,1968,Sweden
461199,Robert Bruce,1958,Netherlands
706811,James Carrillo,2008,Cuba
863230,Paul Nichols,1988,Austria
653089,Brenda Graves,1904,Finland
893267,Christie Miller,1911,Colombia
546584,Vanessa Lozano,2015,Norway
265425,Robert Friedman,2007,Denmark
328747,Joseph Stevens,1926,Sweden
760195,Sabrina Castro,1995,Austria
139092,William Martinez,1981,Finland
266255,April Cruz,1985,Venezuela
387779,Joshua Carter,2016,Switzerland
124034,James Bennett,1998,Germany
567345,Ashley Huynh,1948,Venezuela
122335,Ashley Compton,1968,Spain
730980,Nathan Taylor,1989,United States
835570,Jodi Martin,1989,Belgium
796732,Lisa Hansen,2004,Austria
582239,Sara Taylor,1924,Finland
633890,Heidi Roberson,1920,Sweden
868271,Karen Williams,1996,Cuba
331000,Deborah Werner,1930,Netherlands
